fight_id,f_1,f_2,winner,weight_class,result,finish_round,finish_time,knockdownsA,total_strikes_attA,total_strikes_succA,sig_strikes_attA,sig_strikes_succA,takedown_attA,takedown_succA,submission_attA,reversalsA,ctrl_timeA,wins decA,wins subA,wins koA,knockdownsB,total_strikes_attB,total_strikes_succB,sig_strikes_attB,sig_strikes_succB,takedown_attB,takedown_succB,submission_attB,reversalsB,ctrl_timeB,wins decB,wins subB,wins koB
7217,1662.0,2464.0,0,2,0,2,900,0.0005555555555555556,0.2397953216374269,0.1616374269005848,0.13400584795321638,0.06625730994152047,0.014064327485380118,0.003538011695906433,0.0,0.0,0.49932748538011695,1,0,0,0.0015436978480456742,0.18226174791392183,0.08841458058849364,0.175344751866491,0.08248572683355293,0.0009881422924901185,0.0009881422924901185,0.0,0.0,0.040564339042599915,1,0,1
7215,2974.0,3831.0,1,4,1,1,544,0.0,0.20187285223367696,0.11650057273768613,0.14436998854524627,0.06637457044673539,0.0022222222222222222,0.0,0.002577319587628866,0.002577319587628866,0.5380412371134021,0,1,0,0.03571428571428571,0.34476190476190477,0.12103174603174602,0.33031746031746034,0.1088095238095238,0.0005555555555555556,0.0,0.0,0.0,0.10714285714285714,0,0,1
7214,1108.0,2320.0,1,2,1,0,192,0.006944444444444444,0.22333333333333333,0.06722222222222221,0.22166666666666668,0.06555555555555556,0.0,0.0,0.0,0.0,0.006944444444444444,0,0,1,0.0,0.27666666666666667,0.1611111111111111,0.20611111111111113,0.09222222222222223,0.0011111111111111111,0.0005555555555555556,0.0,0.0,0.24,1,0,0
7213,3945.0,2373.0,1,1,0,2,900,0.0,0.15833333333333333,0.1088888888888889,0.08,0.04111111111111111,0.005,0.002777777777777778,0.0011111111111111111,0.0011111111111111111,0.4322222222222222,1,0,0,0.0,0.2056689342403628,0.08282312925170068,0.20178004535147392,0.0789342403628118,0.00836734693877551,0.0005555555555555556,0.0,0.0,0.07111111111111111,1,0,0
7212,1752.0,3002.0,0,4,2,2,225,0.0,0.2977390180878553,0.16665374677002584,0.23249354005167958,0.10363049095607235,0.00665374677002584,0.005542635658914729,0.0,0.0,0.13748062015503876,0,0,0,0.0,0.2616402116402116,0.09828820417055711,0.22460317460317458,0.06654217242452537,0.0,0.0,0.0,0.0,0.059772798008092126,0,0,0
7210,309.0,3421.0,0,7,0,2,900,0.006944444444444444,0.3586111111111111,0.13416666666666666,0.2938888888888889,0.08722222222222221,0.013611111111111112,0.0011111111111111111,0.0,0.0,0.41555555555555557,1,0,1,0.001736111111111111,0.3113194444444445,0.15840277777777778,0.2851388888888889,0.1407638888888889,0.004027777777777778,0.001736111111111111,0.001736111111111111,0.0,0.29986111111111113,0,0,0
7207,3250.0,2534.0,0,4,0,2,900,0.0037593984962406013,0.24935672514619883,0.1504469507101086,0.19265246449456974,0.09874269005847952,0.0011111111111111111,0.0005555555555555556,0.0037593984962406013,0.0,0.10027986633249791,1,1,0,0.0008503401360544217,0.2281157746117315,0.09470863817225003,0.2178314722115261,0.08442433577204467,0.0,0.0,0.0031446540880503146,0.0,0.12833718393017585,0,1,1
7205,23.0,2846.0,0,3,1,1,412,0.0005555555555555556,0.2238888888888889,0.07555555555555556,0.2138888888888889,0.07222222222222222,0.0005555555555555556,0.0,0.0,0.0,0.057777777777777775,1,0,0,0.005263157894736842,0.1274537695590327,0.08250355618776672,0.09772403982930299,0.052773826458036986,0.0,0.0,0.0,0.0,0.0,0,0,1
7202,2181.0,2929.0,0,5,2,1,568,0.007575757575757576,0.47898583828232066,0.34543931780112686,0.47898583828232066,0.34543931780112686,0.001256281407035176,0.001256281407035176,0.0,0.0,0.035290086797624486,0,0,2,0.0,0.1688888888888889,0.09944444444444445,0.12916666666666668,0.06305555555555556,0.0044444444444444444,0.002777777777777778,0.0038888888888888888,0.0019444444444444444,0.6125,1,1,0
7197,342.0,225.0,1,7,1,1,554,0.0025,0.21009259259259258,0.10601851851851851,0.18259259259259258,0.07851851851851852,0.0,0.0,0.0,0.0,0.315,0,0,1,0.0,0.2136764705882353,0.14870915032679738,0.13236928104575163,0.0857843137254902,0.0,0.0,0.0,0.0,0.2982843137254902,1,0,1
